bairro,ano,n_mvi
Praia da Bandeira,2019,0
Praia da Bandeira,2020,0
Praia da Bandeira,2021,0
Praia da Bandeira,2022,0
Praia da Bandeira,2023,0
Praia da Bandeira,2024,0
Penha Circular,2019,18
Penha Circular,2020,11
Penha Circular,2021,10
Penha Circular,2022,29
Penha Circular,2023,16
Penha Circular,2024,12
Cacuia,2019,1
Cacuia,2020,1
Cacuia,2021,0
Cacuia,2022,2
Cacuia,2023,1
Cacuia,2024,1
Irajá,2019,18
Irajá,2020,9
Irajá,2021,23
Irajá,2022,19
Irajá,2023,28
Irajá,2024,9
Anchieta,2019,26
Anchieta,2020,36
Anchieta,2021,19
Anchieta,2022,21
Anchieta,2023,10
Anchieta,2024,9
Acari,2019,11
Acari,2020,17
Acari,2021,4
Acari,2022,3
Acari,2023,1
Acari,2024,2
Pitangueiras,2019,3
Pitangueiras,2020,1
Pitangueiras,2021,0
Pitangueiras,2022,4
Pitangueiras,2023,0
Pitangueiras,2024,0
Costa Barros,2019,35
Costa Barros,2020,33
Costa Barros,2021,18
Costa Barros,2022,22
Costa Barros,2023,25
Costa Barros,2024,30
Brás de Pina,2019,10
Brás de Pina,2020,24
Brás de Pina,2021,17
Brás de Pina,2022,25
Brás de Pina,2023,11
Brás de Pina,2024,19
Penha,2019,37
Penha,2020,26
Penha,2021,22
Penha,2022,54
Penha,2023,32
Penha,2024,34
Zumbi,2019,0
Zumbi,2020,1
Zumbi,2021,1
Zumbi,2022,0
Zumbi,2023,1
Zumbi,2024,0
Ribeira,2019,0
Ribeira,2020,0
Ribeira,2021,0
Ribeira,2022,0
Ribeira,2023,0
Ribeira,2024,0
Coelho Neto,2019,13
Coelho Neto,2020,6
Coelho Neto,2021,13
Coelho Neto,2022,17
Coelho Neto,2023,9
Coelho Neto,2024,12
Guadalupe,2019,25
Guadalupe,2020,17
Guadalupe,2021,30
Guadalupe,2022,13
Guadalupe,2023,14
Guadalupe,2024,14
Parque Anchieta,2019,1
Parque Anchieta,2020,7
Parque Anchieta,2021,4
Parque Anchieta,2022,2
Parque Anchieta,2023,0
Parque Anchieta,2024,0
Barros Filho,2019,20
Barros Filho,2020,10
Barros Filho,2021,11
Barros Filho,2022,12
Barros Filho,2023,7
Barros Filho,2024,12
Vista Alegre,2019,2
Vista Alegre,2020,0
Vista Alegre,2021,1
Vista Alegre,2022,1
Vista Alegre,2023,0
Vista Alegre,2024,0
Ricardo de Albuquerque,2019,11
Ricardo de Albuquerque,2020,17
Ricardo de Albuquerque,2021,13
Ricardo de Albuquerque,2022,6
Ricardo de Albuquerque,2023,4
Ricardo de Albuquerque,2024,4
Colégio,2019,7
Colégio,2020,5
Colégio,2021,6
Colégio,2022,12
Colégio,2023,7
Colégio,2024,18
Honório Gurgel,2019,13
Honório Gurgel,2020,5
Honório Gurgel,2021,5
Honório Gurgel,2022,4
Honório Gurgel,2023,1
Honório Gurgel,2024,3
Olaria,2019,7
Olaria,2020,8
Olaria,2021,5
Olaria,2022,1
Olaria,2023,3
Olaria,2024,1
Vila da Penha,2019,1
Vila da Penha,2020,1
Vila da Penha,2021,3
Vila da Penha,2022,1
Vila da Penha,2023,3
Vila da Penha,2024,9
Maré,2019,24
Maré,2020,13
Maré,2021,11
Maré,2022,24
Maré,2023,9
Maré,2024,12
Vila Militar,2019,2
Vila Militar,2020,1
Vila Militar,2021,1
Vila Militar,2022,1
Vila Militar,2023,1
Vila Militar,2024,0
Cidade Universitária,2019,8
Cidade Universitária,2020,3
Cidade Universitária,2021,4
Cidade Universitária,2022,2
Cidade Universitária,2023,2
Cidade Universitária,2024,4
Rocha Miranda,2019,10
Rocha Miranda,2020,18
Rocha Miranda,2021,9
Rocha Miranda,2022,8
Rocha Miranda,2023,19
Rocha Miranda,2024,8
Ramos,2019,18
Ramos,2020,14
Ramos,2021,7
Ramos,2022,30
Ramos,2023,5
Ramos,2024,9
Realengo,2019,67
Realengo,2020,37
Realengo,2021,54
Realengo,2022,55
Realengo,2023,56
Realengo,2024,57
Vila Kosmos,2019,1
Vila Kosmos,2020,2
Vila Kosmos,2021,1
Vila Kosmos,2022,2
Vila Kosmos,2023,1
Vila Kosmos,2024,4
Marechal Hermes,2019,24
Marechal Hermes,2020,10
Marechal Hermes,2021,5
Marechal Hermes,2022,17
Marechal Hermes,2023,10
Marechal Hermes,2024,14
Vicente de Carvalho,2019,26
Vicente de Carvalho,2020,20
Vicente de Carvalho,2021,13
Vicente de Carvalho,2022,27
Vicente de Carvalho,2023,16
Vicente de Carvalho,2024,18
Paciência,2019,6
Paciência,2020,3
Paciência,2021,5
Paciência,2022,5
Paciência,2023,11
Paciência,2024,5
Engenho da Rainha,2019,12
Engenho da Rainha,2020,8
Engenho da Rainha,2021,5
Engenho da Rainha,2022,2
Engenho da Rainha,2023,4
Engenho da Rainha,2024,5
Complexo do Alemão,2019,19
Complexo do Alemão,2020,0
Complexo do Alemão,2021,6
Complexo do Alemão,2022,4
Complexo do Alemão,2023,2
Complexo do Alemão,2024,1
Vaz Lobo,2019,8
Vaz Lobo,2020,5
Vaz Lobo,2021,2
Vaz Lobo,2022,7
Vaz Lobo,2023,4
Vaz Lobo,2024,5
Padre Miguel,2019,21
Padre Miguel,2020,9
Padre Miguel,2021,1
Padre Miguel,2022,8
Padre Miguel,2023,10
Padre Miguel,2024,5
Bento Ribeiro,2019,6
Bento Ribeiro,2020,5
Bento Ribeiro,2021,2
Bento Ribeiro,2022,2
Bento Ribeiro,2023,3
Bento Ribeiro,2024,3
Turiaçú,2019,1
Turiaçú,2020,3
Turiaçú,2021,5
Turiaçú,2022,5
Turiaçú,2023,4
Turiaçú,2024,2
Bonsucesso,2019,25
Bonsucesso,2020,28
Bonsucesso,2021,16
Bonsucesso,2022,27
Bonsucesso,2023,19
Bonsucesso,2024,17
Inhaúma,2019,14
Inhaúma,2020,8
Inhaúma,2021,6
Inhaúma,2022,12
Inhaúma,2023,10
Inhaúma,2024,7
Tomás Coelho,2019,9
Tomás Coelho,2020,12
Tomás Coelho,2021,10
Tomás Coelho,2022,14
Tomás Coelho,2023,10
Tomás Coelho,2024,5
Santíssimo,2019,12
Santíssimo,2020,5
Santíssimo,2021,6
Santíssimo,2022,6
Santíssimo,2023,2
Santíssimo,2024,8
Madureira,2019,29
Madureira,2020,21
Madureira,2021,19
Madureira,2022,11
Madureira,2023,28
Madureira,2024,15
Oswaldo Cruz,2019,4
Oswaldo Cruz,2020,5
Oswaldo Cruz,2021,0
Oswaldo Cruz,2022,4
Oswaldo Cruz,2023,4
Oswaldo Cruz,2024,2
Santa Cruz,2019,25
Santa Cruz,2020,19
Santa Cruz,2021,34
Santa Cruz,2022,26
Santa Cruz,2023,53
Santa Cruz,2024,38
Magalhães Bastos,2019,10
Magalhães Bastos,2020,3
Magalhães Bastos,2021,4
Magalhães Bastos,2022,5
Magalhães Bastos,2023,0
Magalhães Bastos,2024,3
Senador Camará,2019,37
Senador Camará,2020,16
Senador Camará,2021,19
Senador Camará,2022,17
Senador Camará,2023,26
Senador Camará,2024,17
Cavalcanti,2019,12
Cavalcanti,2020,5
Cavalcanti,2021,8
Cavalcanti,2022,2
Cavalcanti,2023,10
Cavalcanti,2024,12
Campo dos Afonsos,2019,0
Campo dos Afonsos,2020,0
Campo dos Afonsos,2021,0
Campo dos Afonsos,2022,0
Campo dos Afonsos,2023,1
Campo dos Afonsos,2024,0
Higienópolis,2019,2
Higienópolis,2020,2
Higienópolis,2021,3
Higienópolis,2022,0
Higienópolis,2023,2
Higienópolis,2024,0
Manguinhos,2019,23
Manguinhos,2020,10
Manguinhos,2021,8
Manguinhos,2022,16
Manguinhos,2023,5
Manguinhos,2024,12
Engenheiro Leal,2019,5
Engenheiro Leal,2020,1
Engenheiro Leal,2021,1
Engenheiro Leal,2022,3
Engenheiro Leal,2023,3
Engenheiro Leal,2024,1
Pilares,2019,20
Pilares,2020,8
Pilares,2021,3
Pilares,2022,7
Pilares,2023,8
Pilares,2024,8
Del Castilho,2019,8
Del Castilho,2020,2
Del Castilho,2021,3
Del Castilho,2022,9
Del Castilho,2023,3
Del Castilho,2024,2
Piedade,2019,16
Piedade,2020,15
Piedade,2021,17
Piedade,2022,9
Piedade,2023,8
Piedade,2024,7
Cascadura,2019,4
Cascadura,2020,16
Cascadura,2021,8
Cascadura,2022,18
Cascadura,2023,20
Cascadura,2024,7
Vila Valqueire,2019,0
Vila Valqueire,2020,2
Vila Valqueire,2021,2
Vila Valqueire,2022,1
Vila Valqueire,2023,7
Vila Valqueire,2024,4
Maria da Graça,2019,1
Maria da Graça,2020,1
Maria da Graça,2021,0
Maria da Graça,2022,2
Maria da Graça,2023,2
Maria da Graça,2024,0
Quintino Bocaiúva,2019,8
Quintino Bocaiúva,2020,2
Quintino Bocaiúva,2021,19
Quintino Bocaiúva,2022,4
Quintino Bocaiúva,2023,7
Quintino Bocaiúva,2024,7
Jardim Sulacap,2019,1
Jardim Sulacap,2020,1
Jardim Sulacap,2021,1
Jardim Sulacap,2022,1
Jardim Sulacap,2023,0
Jardim Sulacap,2024,1
Campinho,2019,0
Campinho,2020,3
Campinho,2021,1
Campinho,2022,3
Campinho,2023,8
Campinho,2024,7
Abolição,2019,1
Abolição,2020,1
Abolição,2021,0
Abolição,2022,0
Abolição,2023,1
Abolição,2024,1
Senador Vasconcelos,2019,3
Senador Vasconcelos,2020,1
Senador Vasconcelos,2021,3
Senador Vasconcelos,2022,3
Senador Vasconcelos,2023,2
Senador Vasconcelos,2024,2
Cosmos,2019,4
Cosmos,2020,6
Cosmos,2021,7
Cosmos,2022,4
Cosmos,2023,5
Cosmos,2024,4
Jacarezinho,2019,2
Jacarezinho,2020,1
Jacarezinho,2021,8
Jacarezinho,2022,1
Jacarezinho,2023,3
Jacarezinho,2024,1
Cachambi,2019,5
Cachambi,2020,2
Cachambi,2021,3
Cachambi,2022,2
Cachambi,2023,8
Cachambi,2024,5
Praça Seca,2019,24
Praça Seca,2020,7
Praça Seca,2021,14
Praça Seca,2022,16
Praça Seca,2023,28
Praça Seca,2024,14
Benfica,2019,14
Benfica,2020,10
Benfica,2021,9
Benfica,2022,12
Benfica,2023,4
Benfica,2024,8
Engenho de Dentro,2019,3
Engenho de Dentro,2020,6
Engenho de Dentro,2021,7
Engenho de Dentro,2022,9
Engenho de Dentro,2023,5
Engenho de Dentro,2024,4
São Cristóvão,2019,9
São Cristóvão,2020,18
São Cristóvão,2021,3
São Cristóvão,2022,10
São Cristóvão,2023,9
São Cristóvão,2024,9
Vasco da Gama,2019,0
Vasco da Gama,2020,0
Vasco da Gama,2021,0
Vasco da Gama,2022,0
Vasco da Gama,2023,0
Vasco da Gama,2024,1
Inhoaíba,2019,4
Inhoaíba,2020,1
Inhoaíba,2021,1
Inhoaíba,2022,4
Inhoaíba,2023,2
Inhoaíba,2024,5
Todos os Santos,2019,1
Todos os Santos,2020,0
Todos os Santos,2021,0
Todos os Santos,2022,1
Todos os Santos,2023,1
Todos os Santos,2024,4
Jacaré,2019,16
Jacaré,2020,9
Jacaré,2021,7
Jacaré,2022,3
Jacaré,2023,9
Jacaré,2024,3
Encantado,2019,2
Encantado,2020,2
Encantado,2021,7
Encantado,2022,0
Encantado,2023,4
Encantado,2024,1
Rocha,2019,3
Rocha,2020,3
Rocha,2021,3
Rocha,2022,0
Rocha,2023,1
Rocha,2024,0
Méier,2019,1
Méier,2020,8
Méier,2021,12
Méier,2022,11
Méier,2023,5
Méier,2024,20
Gamboa,2019,3
Gamboa,2020,3
Gamboa,2021,2
Gamboa,2022,0
Gamboa,2023,1
Gamboa,2024,1
Santo Cristo,2019,6
Santo Cristo,2020,6
Santo Cristo,2021,4
Santo Cristo,2022,2
Santo Cristo,2023,0
Santo Cristo,2024,4
Centro,2019,22
Centro,2020,18
Centro,2021,20
Centro,2022,18
Centro,2023,28
Centro,2024,20
Sampaio,2019,4
Sampaio,2020,0
Sampaio,2021,2
Sampaio,2022,2
Sampaio,2023,0
Sampaio,2024,5
Riachuelo,2019,0
Riachuelo,2020,1
Riachuelo,2021,3
Riachuelo,2022,0
Riachuelo,2023,1
Riachuelo,2024,0
Saúde,2019,0
Saúde,2020,0
Saúde,2021,0
Saúde,2022,0
Saúde,2023,0
Saúde,2024,0
São Francisco Xavier,2019,0
São Francisco Xavier,2020,1
São Francisco Xavier,2021,1
São Francisco Xavier,2022,0
São Francisco Xavier,2023,0
São Francisco Xavier,2024,0
Engenho Novo,2019,18
Engenho Novo,2020,14
Engenho Novo,2021,8
Engenho Novo,2022,5
Engenho Novo,2023,6
Engenho Novo,2024,8
Mangueira,2019,4
Mangueira,2020,1
Mangueira,2021,1
Mangueira,2022,0
Mangueira,2023,3
Mangueira,2024,3
Tanque,2019,10
Tanque,2020,5
Tanque,2021,3
Tanque,2022,9
Tanque,2023,25
Tanque,2024,20
Taquara,2019,20
Taquara,2020,3
Taquara,2021,17
Taquara,2022,22
Taquara,2023,22
Taquara,2024,37
Água Santa,2019,18
Água Santa,2020,1
Água Santa,2021,2
Água Santa,2022,1
Água Santa,2023,6
Água Santa,2024,0
Lins de Vasconcelos,2019,13
Lins de Vasconcelos,2020,5
Lins de Vasconcelos,2021,5
Lins de Vasconcelos,2022,3
Lins de Vasconcelos,2023,3
Lins de Vasconcelos,2024,6
Freguesia (Jacarepaguá),2019,2
Freguesia (Jacarepaguá),2020,1
Freguesia (Jacarepaguá),2021,3
Freguesia (Jacarepaguá),2022,3
Freguesia (Jacarepaguá),2023,10
Freguesia (Jacarepaguá),2024,5
Cidade Nova,2019,7
Cidade Nova,2020,3
Cidade Nova,2021,5
Cidade Nova,2022,5
Cidade Nova,2023,2
Cidade Nova,2024,1
Praça da Bandeira,2019,2
Praça da Bandeira,2020,4
Praça da Bandeira,2021,2
Praça da Bandeira,2022,4
Praça da Bandeira,2023,3
Praça da Bandeira,2024,3
Vila Isabel,2019,7
Vila Isabel,2020,12
Vila Isabel,2021,10
Vila Isabel,2022,7
Vila Isabel,2023,5
Vila Isabel,2024,17
Maracanã,2019,5
Maracanã,2020,0
Maracanã,2021,1
Maracanã,2022,1
Maracanã,2023,1
Maracanã,2024,1
Glória,2019,2
Glória,2020,2
Glória,2021,1
Glória,2022,0
Glória,2023,1
Glória,2024,1
Rio Comprido,2019,12
Rio Comprido,2020,20
Rio Comprido,2021,15
Rio Comprido,2022,15
Rio Comprido,2023,8
Rio Comprido,2024,6
Santa Teresa,2019,22
Santa Teresa,2020,10
Santa Teresa,2021,4
Santa Teresa,2022,2
Santa Teresa,2023,3
Santa Teresa,2024,2
Estácio,2019,8
Estácio,2020,4
Estácio,2021,6
Estácio,2022,7
Estácio,2023,4
Estácio,2024,1
Tijuca,2019,27
Tijuca,2020,11
Tijuca,2021,18
Tijuca,2022,12
Tijuca,2023,5
Tijuca,2024,7
Catumbi,2019,19
Catumbi,2020,11
Catumbi,2021,5
Catumbi,2022,2
Catumbi,2023,3
Catumbi,2024,3
Grajaú,2019,1
Grajaú,2020,1
Grajaú,2021,2
Grajaú,2022,7
Grajaú,2023,3
Grajaú,2024,2
Pechincha,2019,1
Pechincha,2020,0
Pechincha,2021,1
Pechincha,2022,0
Pechincha,2023,5
Pechincha,2024,1
Andaraí,2019,3
Andaraí,2020,4
Andaraí,2021,4
Andaraí,2022,4
Andaraí,2023,4
Andaraí,2024,2
Catete,2019,1
Catete,2020,0
Catete,2021,0
Catete,2022,2
Catete,2023,0
Catete,2024,1
Flamengo,2019,2
Flamengo,2020,3
Flamengo,2021,1
Flamengo,2022,4
Flamengo,2023,2
Flamengo,2024,2
Laranjeiras,2019,0
Laranjeiras,2020,3
Laranjeiras,2021,0
Laranjeiras,2022,1
Laranjeiras,2023,1
Laranjeiras,2024,0
Guaratiba,2019,14
Guaratiba,2020,18
Guaratiba,2021,10
Guaratiba,2022,10
Guaratiba,2023,17
Guaratiba,2024,18
Vargem Grande,2019,3
Vargem Grande,2020,7
Vargem Grande,2021,5
Vargem Grande,2022,7
Vargem Grande,2023,21
Vargem Grande,2024,8
Alto da Boa Vista,2019,2
Alto da Boa Vista,2020,0
Alto da Boa Vista,2021,3
Alto da Boa Vista,2022,0
Alto da Boa Vista,2023,0
Alto da Boa Vista,2024,1
Cosme Velho,2019,0
Cosme Velho,2020,1
Cosme Velho,2021,1
Cosme Velho,2022,2
Cosme Velho,2023,0
Cosme Velho,2024,0
Curicica,2019,5
Curicica,2020,6
Curicica,2021,5
Curicica,2022,3
Curicica,2023,14
Curicica,2024,6
Botafogo,2019,6
Botafogo,2020,5
Botafogo,2021,1
Botafogo,2022,0
Botafogo,2023,3
Botafogo,2024,2
Urca,2019,0
Urca,2020,0
Urca,2021,0
Urca,2022,0
Urca,2023,0
Urca,2024,1
Cidade de Deus,2019,28
Cidade de Deus,2020,6
Cidade de Deus,2021,7
Cidade de Deus,2022,6
Cidade de Deus,2023,9
Cidade de Deus,2024,6
Sepetiba,2019,3
Sepetiba,2020,4
Sepetiba,2021,10
Sepetiba,2022,5
Sepetiba,2023,8
Sepetiba,2024,7
Anil,2019,4
Anil,2020,2
Anil,2021,4
Anil,2022,3
Anil,2023,22
Anil,2024,20
Jacarepaguá,2019,31
Jacarepaguá,2020,15
Jacarepaguá,2021,13
Jacarepaguá,2022,16
Jacarepaguá,2023,31
Jacarepaguá,2024,29
Camorim,2019,0
Camorim,2020,1
Camorim,2021,1
Camorim,2022,0
Camorim,2023,7
Camorim,2024,1
Humaitá,2019,1
Humaitá,2020,0
Humaitá,2021,1
Humaitá,2022,0
Humaitá,2023,3
Humaitá,2024,0
Gardênia Azul,2019,8
Gardênia Azul,2020,8
Gardênia Azul,2021,11
Gardênia Azul,2022,3
Gardênia Azul,2023,18
Gardênia Azul,2024,20
Jardim Botânico,2019,0
Jardim Botânico,2020,0
Jardim Botânico,2021,0
Jardim Botânico,2022,0
Jardim Botânico,2023,0
Jardim Botânico,2024,0
Vargem Pequena,2019,3
Vargem Pequena,2020,1
Vargem Pequena,2021,1
Vargem Pequena,2022,1
Vargem Pequena,2023,3
Vargem Pequena,2024,13
Copacabana,2019,12
Copacabana,2020,4
Copacabana,2021,4
Copacabana,2022,7
Copacabana,2023,6
Copacabana,2024,3
Leme,2019,2
Leme,2020,3
Leme,2021,3
Leme,2022,1
Leme,2023,0
Leme,2024,2
Lagoa,2019,2
Lagoa,2020,0
Lagoa,2021,0
Lagoa,2022,1
Lagoa,2023,0
Lagoa,2024,1
Itanhangá,2019,23
Itanhangá,2020,5
Itanhangá,2021,7
Itanhangá,2022,6
Itanhangá,2023,43
Itanhangá,2024,41
Gávea,2019,3
Gávea,2020,1
Gávea,2021,0
Gávea,2022,0
Gávea,2023,1
Gávea,2024,3
Barra da Tijuca,2019,8
Barra da Tijuca,2020,11
Barra da Tijuca,2021,11
Barra da Tijuca,2022,15
Barra da Tijuca,2023,24
Barra da Tijuca,2024,24
Leblon,2019,6
Leblon,2020,2
Leblon,2021,2
Leblon,2022,3
Leblon,2023,7
Leblon,2024,3
Ipanema,2019,3
Ipanema,2020,3
Ipanema,2021,4
Ipanema,2022,2
Ipanema,2023,1
Ipanema,2024,0
São Conrado,2019,2
São Conrado,2020,0
São Conrado,2021,1
São Conrado,2022,1
São Conrado,2023,0
São Conrado,2024,1
Rocinha,2019,8
Rocinha,2020,3
Rocinha,2021,1
Rocinha,2022,5
Rocinha,2023,2
Rocinha,2024,1
Pedra de Guaratiba,2019,2
Pedra de Guaratiba,2020,0
Pedra de Guaratiba,2021,1
Pedra de Guaratiba,2022,3
Pedra de Guaratiba,2023,2
Pedra de Guaratiba,2024,9
Recreio dos Bandeirantes,2019,17
Recreio dos Bandeirantes,2020,7
Recreio dos Bandeirantes,2021,14
Recreio dos Bandeirantes,2022,7
Recreio dos Bandeirantes,2023,27
Recreio dos Bandeirantes,2024,29
Vidigal,2019,7
Vidigal,2020,3
Vidigal,2021,1
Vidigal,2022,0
Vidigal,2023,0
Vidigal,2024,0
Joá,2019,0
Joá,2020,0
Joá,2021,0
Joá,2022,0
Joá,2023,0
Joá,2024,0
Barra de Guaratiba,2019,2
Barra de Guaratiba,2020,0
Barra de Guaratiba,2021,1
Barra de Guaratiba,2022,3
Barra de Guaratiba,2023,4
Barra de Guaratiba,2024,2
Grumari,2019,0
Grumari,2020,1
Grumari,2021,2
Grumari,2022,1
Grumari,2023,0
Grumari,2024,1
Caju,2019,8
Caju,2020,6
Caju,2021,2
Caju,2022,7
Caju,2023,8
Caju,2024,3
Deodoro,2019,14
Deodoro,2020,5
Deodoro,2021,5
Deodoro,2022,6
Deodoro,2023,5
Deodoro,2024,3
Campo Grande,2019,45
Campo Grande,2020,33
Campo Grande,2021,33
Campo Grande,2022,30
Campo Grande,2023,30
Campo Grande,2024,30
Bangu,2019,141
Bangu,2020,82
Bangu,2021,82
Bangu,2022,62
Bangu,2023,68
Bangu,2024,55
Gericinó,2019,0
Gericinó,2020,2
Gericinó,2021,0
Gericinó,2022,0
Gericinó,2023,0
Gericinó,2024,0
